"Response ID","Date submitted","Last page","Start language","Seed","{if(is_empty(eqZufall),rand(1,2),eqZufall)}","Imagine the following situation: Two individuals are given access to an investment opportunity.   They can choose between:    	not investing and receiving 30 CHF, or  	investing, which gives a 50% chance of receiving 60 CHF and a 50% chance of receiving 0 CHF (expected value: 30 CHF).   Your task is to decide how to distribute the total amount of money received by the two individuals. You will make this decision for three different situations. Before each decision, you will be informed about whether each person chose to invest, and how much money they received.  ","In this case, Person A chose not to invest and Person B chose to invest and ended up with 60 CHF. How would you distribute the total of 90 CHF between them? [A (non-investor)]","In this case, Person A chose not to invest and Person B chose to invest and ended up with 60 CHF. How would you distribute the total of 90 CHF between them? [B (investor)]","In this case, Person A chose not to invest and Person B chose to invest and ended up with 0 CHF. How will you distribute the total amount received by the individuals (30 CHF)? [A (non-investor)]","In this case, Person A chose not to invest and Person B chose to invest and ended up with 0 CHF. How will you distribute the total amount received by the individuals (30 CHF)? [B (investor)]","In this case, both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person A]","In this case, both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person B]","Imagine the following situation: Two individuals each receive 30 CHF. Additionally, Person A is given access to an investment opportunity, while Person B is not.   Investing comes with a 50% chance of receiving 60 CHF and a 50% chance of receiving 0 CHF (expected value = 30 CHF). Person A makes a choice between this risky option and a safe 30 CHF.  Your task is to decide how to distribute the total amount of money between the two individuals. You will make this decision for three different situations. Before each decision, you will be informed about whether Person A chose to invest, and how much money each individual received. ","In this case, Person A, who had the option to invest, chose to invest and ended up with 60 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 90 CHF between them?  [Person A (investor)]","In this case, Person A, who had the option to invest, chose to invest and ended up with 60 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 90 CHF between them?  [Person B (non-investor)]","In this case, Person A, who had the option to invest, chose to invest and ended up with 0 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 30 CHF between them? [Person A (investor)]","In this case, Person A, who had the option to invest, chose to invest and ended up with 0 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 30 CHF between them? [Person B (non-investor)]","Now imagine that Person B also received access to the investment opportunity, and both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person A]","Now imagine that Person B also received access to the investment opportunity, and both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person B]","Below is a seven-point scale on which the political views that people might hold are arranged from very left-wing (1) to very right-wing (7). Where would you place yourself on this scale?","Below is a ten-point scale on which people’s willingness to take financial risks is arranged from not at all willing (1) to very willing (10). This could, for example, involve choosing between a safe option with a guaranteed outcome and a risky option with higher but uncertain returns. Where would you place yourself on this scale?","In your opinion, what mainly determines success in life on a scale from 1 (success mainly depends on effort) to 10 (success mainly depends on luck)?","What is the highest level of education you have completed?","How old are you?","What is your gender?","What is your current gross monthly income?"
"238","1980-01-01 00:00:00","16","en","339443074","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)","7","4","Master's degree (university and university of applied sciences)","20-29","Male","CHF 8'000 – 9'999"
"239","1980-01-01 00:00:00","16","en","695098790","2",,,,,,,,"","45","45","0","30","0","60","4 (moderate)","7","3","Bachelor's degree (university and university of applied sciences)","30-39","Female","CHF 4'000 – 5'999"
"240","1980-01-01 00:00:00","16","en","226026064","2",,,,,,,,"","60","30","0","30","0","60","5 (slightly right wing)","6","6","Bachelor's degree (university and university of applied sciences)","30-39","Female","CHF 2'000 - 3'999"
"241","1980-01-01 00:00:00","16","en","197352683","2",,,,,,,,"","55","35","5","25","10","50","3 (slightly left wing)","9","3","Bachelor's degree (university and university of applied sciences)","40-49","Male","CHF 6'000 – 7'999"
"242","1980-01-01 00:00:00","16","en","1592201697","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)","7","6","Master's degree (university and university of applied sciences)","70 or above","Male","CHF 6'000 – 7'999"
"243","1980-01-01 00:00:00","16","en","1967903675","1","","30","60","30","0","25","35",,,,,,,,"5 (slightly right wing)","8","4","Master's degree (university and university of applied sciences)","20-29","Male","CHF 6'000 – 7'999"
"245","1980-01-01 00:00:00","16","en","1475154384","2",,,,,,,,"","45","45","0","30","30","30","2 (left wing)","6","8","Master's degree (university and university of applied sciences)","30-39","Female","Below CHF 2'000"
"246","1980-01-01 00:00:00","16","en","679933302","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)","6","5 (success depends equally on effort and luck)","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"247","1980-01-01 00:00:00","16","en","1796205138","2",,,,,,,,"","50","40","0","30","15","45","2 (left wing)","5 (neutral)","6","Master's degree (university and university of applied sciences)","20-29","Male","CHF 4'000 – 5'999"
"248","1980-01-01 00:00:00","16","en","1294157450","1","","45","45","15","15","30","30",,,,,,,,"1 (very left wing)","4","4","Master's degree (university and university of applied sciences)","20-29","Female","CHF 4'000 – 5'999"
"251","1980-01-01 00:00:00","16","en","1565037372","2",,,,,,,,"","60","30","0","30","0","60","3 (slightly left wing)","7","5 (success depends equally on effort and luck)","Preparatory High School (Gymnasium)","20-29","Male","CHF 2'000 - 3'999"
"252","1980-01-01 00:00:00","16","en","1386356023","2",,,,,,,,"","60","30","0","30","30","30","3 (slightly left wing)","3","7","Preparatory High School (Gymnasium)","20-29","Female","Below CHF 2'000"
"253","1980-01-01 00:00:00","16","en","1655470807","1","","30","60","30","0","30","30",,,,,,,,"2 (left wing)","2","4","Preparatory High School (Gymnasium)","20-29","Female","Below CHF 2'000"
"254","1980-01-01 00:00:00","16","en","1022099229","1","","30","60","30","0","0","60",,,,,,,,"3 (slightly left wing)","4","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","20-29","Male","CHF 6'000 – 7'999"
"256","1980-01-01 00:00:00","16","en","453883926","2",,,,,,,,"","60","30","0","30","0","60","2 (left wing)","3","4","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"257","1980-01-01 00:00:00","16","en","1011542285","2",,,,,,,,"","45","45","5","25","20","40","4 (moderate)","6","3","Preparatory High School (Gymnasium)","20-29","Female","Below CHF 2'000"
"258","1980-01-01 00:00:00","16","en","323698291","1","","30","60","30","0","30","30",,,,,,,,"5 (slightly right wing)","6","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"259","1980-01-01 00:00:00","16","en","194322628","2",,,,,,,,"","50","40","0","30","10","50","3 (slightly left wing)","8","3","Master's degree (university and university of applied sciences)","50-59","Male","CHF 8'000 – 9'999"
"260","1980-01-01 00:00:00","16","en","914286375","1","","30","60","30","0","30","30",,,,,,,,"4 (moderate)","4","2","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"261","1980-01-01 00:00:00","16","en","788073039","2",,,,,,,,"","60","30","7","23","20","40","2 (left wing)","3","5 (success depends equally on effort and luck)","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"262","1980-01-01 00:00:00","16","en","1381166366","1","","30","60","30","0","0","60",,,,,,,,"3 (slightly left wing)","6","9","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"263","1980-01-01 00:00:00","16","en","1865355661","1","","30","60","30","0","0","60",,,,,,,,"3 (slightly left wing)","7","7","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"264","1980-01-01 00:00:00","16","en","1308515171","1","","45","45","15","15","30","30",,,,,,,,"2 (left wing)","4","3","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"265","1980-01-01 00:00:00","16","en","2147274686","1","","30","60","30","0","0","60",,,,,,,,"2 (left wing)","4","7","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"266","1980-01-01 00:00:00","16","en","1400508162","2",,,,,,,,"","60","30","0","30","0","60","3 (slightly left wing)","10 (very willing to take financial risks)","10 (success mainly depends on luck)","Master's degree (university and university of applied sciences)","30-39","Male","CHF 6'000 – 7'999"
"267","1980-01-01 00:00:00","16","en","150860137","1","","30","60","30","0","0","60",,,,,,,,"5 (slightly right wing)","4","3","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"268","1980-01-01 00:00:00","16","en","223477279","1","","35","55","25","5","28","32",,,,,,,,"3 (slightly left wing)","7","4","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"270","1980-01-01 00:00:00","16","en","1391740471","2",,,,,,,,"","45","45","15","15","0","60","3 (slightly left wing)","6","4","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"272","1980-01-01 00:00:00","16","en","1480693596","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)","7","4","Master's degree (university and university of applied sciences)","20-29","Male","CHF 2'000 - 3'999"
"273","1980-01-01 00:00:00","16","en","77485052","1","","30","60","30","0","30","30",,,,,,,,"2 (left wing)","1 (not at all willing to take financial risks)","3","Doctoral degree / PhD","30-39","Female","CHF 4'000 – 5'999"
"276","1980-01-01 00:00:00","16","en","7276798","1","","45","45","30","0","15","45",,,,,,,,"5 (slightly right wing)","7","8","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"278","1980-01-01 00:00:00","16","en","543717426","1","","30","60","20","10","30","30",,,,,,,,"5 (slightly right wing)","7","6","Preparatory High School (Gymnasium)","30-39","Male","CHF 2'000 - 3'999"
"280","1980-01-01 00:00:00","16","en","1732006460","1","","30","60","30","0","0","60",,,,,,,,"3 (slightly left wing)","4","8","Bachelor's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"281","1980-01-01 00:00:00","16","en","1663221755","2",,,,,,,,"","60","30","0","30","20","40","2 (left wing)","4","5 (success depends equally on effort and luck)","Bachelor's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"283","1980-01-01 00:00:00","16","en","422167771","1","","60","30","30",,"30","30",,,,,,,,"4 (moderate)","4","6","Bachelor's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"284","1980-01-01 00:00:00","16","en","705589456","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)","7","7","Bachelor's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"287","1980-01-01 00:00:00","16","en","515080344","1","","30","60","30","0","0","60",,,,,,,,"3 (slightly left wing)","4","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","40-49","Female","CHF 2'000 - 3'999"
"289","1980-01-01 00:00:00","16","en","1505092313","1","","30","60","30","0","30","30",,,,,,,,"2 (left wing)","3","6","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"290","1980-01-01 00:00:00","16","en","1381976189","2",,,,,,,,"","60","30","0","30","0","60","4 (moderate)","5 (neutral)","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","20-29","Male","Prefer not to say"
"291","1980-01-01 00:00:00","16","en","1664580081","1","","30","60","30","0","0","60",,,,,,,,"1 (very left wing)","10 (very willing to take financial risks)","1 (success mainly depends on effort)","Preparatory High School (Gymnasium)","20-29","Male","Prefer not to say"
"293","1980-01-01 00:00:00","16","en","1063404041","2",,,,,,,,"","50","40","0","30","0","60","3 (slightly left wing)","3","4","Bachelor's degree (university and university of applied sciences)","20-29","Female","CHF 2'000 - 3'999"
"294","1980-01-01 00:00:00","16","en","1161409541","1","","30","60","30","0","0","60",,,,,,,,"2 (left wing)","3","3","Bachelor's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"297","1980-01-01 00:00:00","16","en","996981223","1","","30","60","30","0","0","60",,,,,,,,"6 (right wing)","7","3","Doctoral degree / PhD","Below 20","Other","CHF 10'000 or more"
"299","1980-01-01 00:00:00","16","en","1966498354","1","","30","60","0","30","30","30",,,,,,,,"1 (very left wing)","2","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"300","1980-01-01 00:00:00","16","en","1996969582","2",,,,,,,,"","45","45","15","15","30","30","2 (left wing)","6","7","Bachelor's degree (university and university of applied sciences)","20-29","Male","CHF 4'000 – 5'999"
"301","1980-01-01 00:00:00","16","en","1162534037","1","","30","60","30","0","0","60",,,,,,,,"2 (left wing)","3","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","60-69","Male","CHF 6'000 – 7'999"
"303","1980-01-01 00:00:00","16","en","562197797","2",,,,,,,,"","45","45","15","15","30","30","3 (slightly left wing)","3","3","Master's degree (university and university of applied sciences)","20-29","Female","CHF 4'000 – 5'999"
"306","1980-01-01 00:00:00","16","en","1811011946","2",,,,,,,,"","60","30","0","30","0","60","1 (very left wing)","2","7","Preparatory High School (Gymnasium)","20-29","Female","Below CHF 2'000"
"307","1980-01-01 00:00:00","16","en","993186231","2",,,,,,,,"","60","30","0","30","0","60","6 (right wing)","6","1 (success mainly depends on effort)","Professional education (apprenticeship / Lehre)","30-39","Male","CHF 2'000 - 3'999"
"311","1980-01-01 00:00:00","16","en","1854275670","2",,,,,,,,"","60","30","0","30","0","60","4 (moderate)","4","4","Master's degree (university and university of applied sciences)","40-49","Female","CHF 10'000 or more"
"312","1980-01-01 00:00:00","16","en","2122206909","2",,,,,,,,"","45","45","15","15","0","60","3 (slightly left wing)","6","4","Master's degree (university and university of applied sciences)","20-29","Male","CHF 8'000 – 9'999"
"315","1980-01-01 00:00:00","16","en","1149031900","2",,,,,,,,"","60","30","0","30","30","30","2 (left wing)","7","6","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"316","1980-01-01 00:00:00","16","en","1584588972","1","","30","60","30","0","0","60",,,,,,,,"3 (slightly left wing)","4","4","Preparatory High School (Gymnasium)","Below 20","Female","Below CHF 2'000"
"318","1980-01-01 00:00:00","16","en","17211230","2",,,,,,,,"","60","30","0","30","0","60","5 (slightly right wing)","4","3","Other qualification","60-69","Male","CHF 2'000 - 3'999"
"319","1980-01-01 00:00:00","16","en","74765409","2",,,,,,,,"","60","30","10","20","30","30","2 (left wing)","2","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","40-49","Male","CHF 10'000 or more"
"320","1980-01-01 00:00:00","16","en","782735110","2",,,,,,,,"","55","35","5","25","0","60","2 (left wing)","3","7","Master's degree (university and university of applied sciences)","30-39","Male","CHF 8'000 – 9'999"
"321","1980-01-01 00:00:00","16","en","122196826","2",,,,,,,,"","60","30","0","30","0","60","5 (slightly right wing)","7","3","Doctoral degree / PhD","50-59","Male","CHF 10'000 or more"
"322","1980-01-01 00:00:00","16","en","942252934","2",,,,,,,,"","60","30","0","30","0","60","3 (slightly left wing)","3","6","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"323","1980-01-01 00:00:00","16","en","1959018075","2",,,,,,,,"","60","30","0","30","0","60","2 (left wing)","3","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","20-29","Female","CHF 6'000 – 7'999"
"324","1980-01-01 00:00:00","16","en","1172267675","2",,,,,,,,"","60","30","0","30","0","60","2 (left wing)","4","5 (success depends equally on effort and luck)","Preparatory High School (Gymnasium)","20-29","Male","Prefer not to say"
"325","1980-01-01 00:00:00","16","en","228911211","2",,,,,,,,"","60","30","0","30","0","60","4 (moderate)","4","3","Preparatory High School (Gymnasium)","20-29","Female","Below CHF 2'000"
"326","1980-01-01 00:00:00","16","en","1522767325","2",,,,,,,,"","60","30","0","30","50","10","2 (left wing)","7","8","Master's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"327","1980-01-01 00:00:00","16","en","452176135","1","","30","60","30","0","0","60",,,,,,,,"3 (slightly left wing)","5 (neutral)","3","Master's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"328","1980-01-01 00:00:00","16","en","1834847355","1","","30","60","30","0","0","60",,,,,,,,"6 (right wing)","6","3","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"329","1980-01-01 00:00:00","16","en","30347980","2",,,,,,,,"","55","35","10","20","30","30","2 (left wing)","7","7","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"330","1980-01-01 00:00:00","16","en","506139361","2",,,,,,,,"","45","45","15","15","30","30","1 (very left wing)","4","8","Preparatory High School (Gymnasium)","20-29","Other","CHF 2'000 - 3'999"
"331","1980-01-01 00:00:00","16","en","1470157101","2",,,,,,,,"","60","30","0","30","0","60","3 (slightly left wing)","7","3","Master's degree (university and university of applied sciences)","30-39","Male","Below CHF 2'000"
"332","1980-01-01 00:00:00","16","en","2128143419","2",,,,,,,,"","50","40","10","20","0","60","2 (left wing)","4","8","Bachelor's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"333","1980-01-01 00:00:00","16","en","487148512","2",,,,,,,,"","60","30","0","30","0","60","4 (moderate)","8","4","Preparatory High School (Gymnasium)","Below 20","Male","Below CHF 2'000"
"334","1980-01-01 00:00:00","16","en","1280834404","2",,,,,,,,"","50","40","10","20","50","10","3 (slightly left wing)","7","6","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"335","1980-01-01 00:00:00","16","en","525240562","1","","30","60","30","0","0","60",,,,,,,,"3 (slightly left wing)","2","8","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"336","1980-01-01 00:00:00","16","en","2130397849","2",,,,,,,,"","60","30","0","30","0","60","4 (moderate)","10 (very willing to take financial risks)","5 (success depends equally on effort and luck)","Preparatory High School (Gymnasium)","Below 20","Male","Below CHF 2'000"
"338","1980-01-01 00:00:00","16","en","557789343","2",,,,,,,,"","60","30","0","30","0","60","3 (slightly left wing)","4","4","Preparatory High School (Gymnasium)","20-29","Female","Below CHF 2'000"
"339","1980-01-01 00:00:00","16","en","1632732791","2",,,,,,,,"","45","45","15","15","30","30","3 (slightly left wing)","4","3","Professional education (apprenticeship / Lehre)","20-29","Female","Below CHF 2'000"
"340","1980-01-01 00:00:00","16","en","1923526945","2",,,,,,,,"","50","40","0","30","0","60","3 (slightly left wing)","1 (not at all willing to take financial risks)","3","Doctoral degree / PhD","50-59","Female","CHF 8'000 – 9'999"
"341","1980-01-01 00:00:00","16","en","91985267","2",,,,,,,,"","60","30","0","30","0","60","5 (slightly right wing)","7","3","Master's degree (university and university of applied sciences)","20-29","Male","CHF 4'000 – 5'999"
"342","1980-01-01 00:00:00","16","en","1552451157","1","","45","45","10","20","15","45",,,,,,,,"4 (moderate)","6","6","Bachelor's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"343","1980-01-01 00:00:00","16","en","475457293","2",,,,,,,,"","60","30","0","30","0","60","2 (left wing)","5 (neutral)","7","Bachelor's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"344","1980-01-01 00:00:00","16","en","162575504","2",,,,,,,,"","90","0","0","30","0","60","5 (slightly right wing)","6","2","Master's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"346","1980-01-01 00:00:00","16","en","2121368107","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)","4","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","20-29","Male","CHF 6'000 – 7'999"
"347","1980-01-01 00:00:00","16","en","395200469","2",,,,,,,,"","60","30","0","30","0","60","3 (slightly left wing)","6","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"349","1980-01-01 00:00:00","16","en","1394491840","1","","30","60","30","0","10","50",,,,,,,,"5 (slightly right wing)","7","6","Bachelor's degree (university and university of applied sciences)","20-29","Male","CHF 6'000 – 7'999"
"350","1980-01-01 00:00:00","16","en","1727526211","2",,,,,,,,"","60","30","0","30","0","60","4 (moderate)","8","5 (success depends equally on effort and luck)","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"351","1980-01-01 00:00:00","16","en","1968664369","1","","45","45","15","15","30","30",,,,,,,,"3 (slightly left wing)","4","3","Professional education (apprenticeship / Lehre)","20-29","Male","CHF 4'000 – 5'999"
"353","1980-01-01 00:00:00","16","en","878581108","2",,,,,,,,"","30","60","15","15","30","30","5 (slightly right wing)","8","7","Bachelor's degree (university and university of applied sciences)","20-29","Male","CHF 4'000 – 5'999"
"355","1980-01-01 00:00:00","16","en","1679500504","2",,,,,,,,"","60","30","0","30","0","60","2 (left wing)","5 (neutral)","4","Preparatory High School (Gymnasium)","20-29","Female","Below CHF 2'000"
